,coord,weather,base,main,wind,snow,clouds,dt,sys,timezone,id,name,cod,visibility,rain,message
0,"{'lon': 81.47, 'lat': 50.99}","[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]",model,"{'temp': 6.46, 'feels_like': -8.55, 'temp_min': 6.46, 'temp_max': 6.46, 'pressure': 1027, 'humidity': 91, 'sea_level': 1027, 'grnd_level': 989}","{'speed': 15.84, 'deg': 260}",{'3h': 0.38},{'all': 100},1580251859.0,"{'country': 'RU', 'sunrise': 1580264180, 'sunset': 1580296659}",25200.0,1506260.0,Gornyak,200,,,
1,"{'lon': -147.72, 'lat': 64.84}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': -22.4, 'feels_like': -31.22, 'temp_min': -27.4, 'temp_max': -15, 'pressure': 1002, 'humidity': 74}","{'speed': 3.27, 'deg': 19}",,{'all': 1},1580251692.0,"{'type': 1, 'id': 7684, 'country': 'US', 'sunrise': 1580237429, 'sunset': 1580260612}",-32400.0,5861897.0,Fairbanks,200,16093.0,,
2,"{'lon': -165.41, 'lat': 64.5}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': -18.4, 'feels_like': -28.62, 'temp_min': -18.4, 'temp_max': -18.4, 'pressure': 1012, 'humidity': 68}","{'speed': 5.82, 'deg': 20}",,{'all': 1},1580251862.0,"{'type': 1, 'id': 7770, 'country': 'US', 'sunrise': 1580241478, 'sunset': 1580265055}",-32400.0,5870133.0,Nome,200,16093.0,,
3,"{'lon': 45.76, 'lat': 64.9}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",model,"{'temp': -7.53, 'feels_like': -16.65, 'temp_min': -7.53, 'temp_max': -7.53, 'pressure': 1018, 'humidity': 96, 'sea_level': 1018, 'grnd_level': 1010}","{'speed': 4.47, 'deg': 188}",,{'all': 21},1580251864.0,"{'country': 'RU', 'sunrise': 1580277341, 'sunset': 1580300641}",10800.0,535839.0,Leshukonskoye,200,,,
4,"{'lon': 15.74, 'lat': -12.78}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",model,"{'temp': 60.71, 'feels_like': 62.51, 'temp_min': 60.71, 'temp_max': 60.71, 'pressure': 1014, 'humidity': 95, 'sea_level': 1014, 'grnd_level': 830}","{'speed': 2.15, 'deg': 109}",,{'all': 100},1580251869.0,"{'country': 'AO', 'sunrise': 1580186933, 'sunset': 1580232636}",3600.0,3348313.0,Huambo,200,,{'3h': 1.06},
5,"{'lon': 153.3, 'lat': -27.58}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 84.31, 'feels_like': 89.62, 'temp_min': 82, 'temp_max': 87.01, 'pressure': 1014, 'humidity': 69}","{'speed': 6.93, 'deg': 340}",,{'all': 40},1580251870.0,"{'type': 1, 'id': 9485, 'country': 'AU', 'sunrise': 1580238966, 'sunset': 1580287389}",36000.0,2145214.0,Victoria Point,200,10000.0,,
6,"{'lon': 128.87, 'lat': 71.69}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",model,"{'temp': -20.56, 'feels_like': -30.51, 'temp_min': -20.56, 'temp_max': -20.56, 'pressure': 1021, 'humidity': 86, 'sea_level': 1021, 'grnd_level': 1004}","{'speed': 5.39, 'deg': 207}",,{'all': 98},1580251872.0,"{'country': 'RU', 'sunrise': 1580264381, 'sunset': 1580273702}",32400.0,2015306.0,Tiksi,200,,,
7,"{'lon': 170.31, 'lat': 69.7}","[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]",model,"{'temp': -7.58, 'feels_like': -21.21, 'temp_min': -7.58, 'temp_max': -7.58, 'pressure': 1022, 'humidity': 98, 'sea_level': 1022, 'grnd_level': 1021}","{'speed': 12.5, 'deg': 322}",{'3h': 0.19},{'all': 100},1580251873.0,"{'country': 'RU', 'sunrise': 1580251329, 'sunset': 1580266860}",43200.0,2122090.0,Pevek,200,,,
8,"{'lon': 151.78, 'lat': -32.58}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 76.78, 'feels_like': 78.8, 'temp_min': 73.99, 'temp_max': 79, 'pressure': 1015, 'humidity': 88}","{'speed': 12.75, 'deg': 200}",,{'all': 90},1580251878.0,"{'type': 1, 'id': 9605, 'country': 'AU', 'sunrise': 1580238779, 'sunset': 1580288306}",39600.0,2171465.0,Clarence Town,200,9000.0,,
9,"{'lon': -57.68, 'lat': -36.31}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",model,"{'temp': 73.13, 'feels_like': 64.94, 'temp_min': 73.13, 'temp_max': 73.13, 'pressure': 1004, 'humidity': 48, 'sea_level': 1004, 'grnd_level': 1003}","{'speed': 15.82, 'deg': 27}",,{'all': 33},1580251879.0,"{'country': 'AR', 'sunrise': 1580202164, 'sunset': 1580252651}",-10800.0,3435038.0,Dolores,200,,,
10,"{'lon': 100.34, 'lat': 5.41}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 80.73, 'feels_like': 90.48, 'temp_min': 80.01, 'temp_max': 82, 'pressure': 1011, 'humidity': 83}",{'speed': 1.12},,{'all': 20},1580251881.0,"{'type': 1, 'id': 9438, 'country': 'MY', 'sunrise': 1580254506, 'sunset': 1580297274}",28800.0,1735106.0,George Town,200,9000.0,,
11,"{'lon': 146.42, 'lat': 68.53}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",model,"{'temp': -28.82, 'feels_like': -39.86, 'temp_min': -28.82, 'temp_max': -28.82, 'pressure': 1028, 'humidity': 78, 'sea_level': 1028, 'grnd_level': 1021}","{'speed': 7.09, 'deg': 198}",,{'all': 76},1580251883.0,"{'country': 'RU', 'sunrise': 1580255828, 'sunset': 1580273830}",39600.0,2126785.0,Belaya Gora,200,,,
12,"{'lon': -53.46, 'lat': -33.7}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,"{'temp': 68.23, 'feels_like': 64.36, 'temp_min': 68.23, 'temp_max': 68.23, 'pressure': 1010, 'humidity': 79, 'sea_level': 1010, 'grnd_level': 1009}","{'speed': 13.69, 'deg': 53}",,{'all': 0},1580251695.0,"{'country': 'UY', 'sunrise': 1580201478, 'sunset': 1580251311}",-10800.0,3443061.0,Chui,200,,,
13,"{'lon': 59.53, 'lat': 22.57}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,"{'temp': 62.74, 'feels_like': 54.73, 'temp_min': 62.74, 'temp_max': 62.74, 'pressure': 1018, 'humidity': 46, 'sea_level': 1018, 'grnd_level': 1000}","{'speed': 10.85, 'deg': 338}",,{'all': 0},1580251611.0,"{'country': 'OM', 'sunrise': 1580265732, 'sunset': 1580305639}",14400.0,286245.0,Sur,200,,,
14,"{'lon': -72.07, 'lat': -45.58}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 55.4, 'feels_like': 48.18, 'temp_min': 55.4, 'temp_max': 55.4, 'pressure': 1012, 'humidity': 58}","{'speed': 9.17, 'deg': 250, 'gust': 20.8}",,{'all': 75},1580251651.0,"{'type': 1, 'id': 8491, 'country': 'CL', 'sunrise': 1580204213, 'sunset': 1580257510}",-10800.0,3894426.0,Coyhaique,200,10000.0,,
